id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21462939,Large comfortable room in,17783806,Maj,,Östermalms,59.34356,18.08282,Shared room,,4,0,,,1,0,0,
21465621,City center,4958341,Kristina,,Östermalms,59.33799,18.08001,Private room,880,2,243,2024-06-16,3.02,2,173,63,
21482249,Longtstay rental Central Location in Stockholm,116044429,Guven,,Norrmalms,59.33718,18.05236,Hotel room,,1,54,2024-05-02,0.67,9,0,6,
21489309,"Stockholm  1-bedroom, shared apt. View!",43828530,Mir Mumtaz,,Hässelby-Vällingby,59.36321,17.86922,Private room,349,3,0,,,1,363,0,
21496275,Room available Stockholm for long term.,156166816,Ghazzal,,Spånga-Tensta,59.3893,17.90042,Private room,200,30,8,2023-03-18,0.14,2,301,0,
21542930,"Private room in warm and cozy apt, great location!",3825232,Julian,,Södermalms,59.3073,18.10799,Private room,550,2,11,2024-05-20,0.16,1,32,3,
21558220,"Stockholm, charming studio, garden-close to a lake",7136111,Susanne,,Älvsjö,59.276508,17.987471,Entire home/apt,727,3,4,2023-09-30,0.05,2,261,1,
21662894,solberga house for rent,35207118,Sabrina,,Älvsjö,59.28758,18.01059,Private room,350,72,0,,,2,90,0,
21752432,Central and next to the metro station,99505618,Charlotte,,Kungsholmens,59.3325,18.0165,Entire home/apt,,2,78,2024-04-01,0.97,1,0,8,
21758764,Stay stylish.,158524145,Nils,,Kungsholmens,59.33103,18.01663,Entire home/apt,1280,1,134,2024-06-18,1.70,1,179,26,
21767802,The Woodland Cemetery chain house,641617,Sofie,,Skarpnäcks,59.27567,18.11228,Entire home/apt,,4,48,2023-08-05,0.62,1,2,7,
21793613,Top Location Apartment,158816263,Kerstin,,Södermalms,59.32338,18.0716,Entire home/apt,1843,1,544,2024-06-23,6.82,2,289,89,
21796505,Sekelskifteslägenhet i Birkastan.,158839829,Charlotte,,Norrmalms,59.34001,18.03471,Entire home/apt,,3,0,,,1,0,0,
21813239,Charming central apartment,1419294,A And K,,Norrmalms,59.34569,18.06121,Entire home/apt,1620,14,12,2023-08-26,0.15,1,273,1,
21820648,Spacious & modern apartment,21121377,Sara,,Skarpnäcks,59.2941,18.0988,Entire home/apt,3161,2,12,2024-06-03,0.15,1,73,9,
21851676,Room Ni in a house full of students,906001,Mariam,,Spånga-Tensta,59.39157,17.91708,Private room,200,120,10,2024-02-25,0.21,7,32,3,
21918665,Close to the Royal Palace,38680227,Aura And Diaco,,Södermalms,59.32569,18.06821,Entire home/apt,2003,2,487,2024-06-26,6.09,1,132,72,
21935654,Scandinavian Style Apt w. Balcony in Central Sthlm,51002540,Fredrik,,Östermalms,59.34503,18.09666,Entire home/apt,1090,3,295,2024-06-20,3.69,20,315,62,
21999811,"Corner flat: lake view, roof terrace, 2 balconies",50920490,Fredrik,,Kungsholmens,59.33765,18.02709,Entire home/apt,750,120,0,,,1,154,0,
22134471,Modern villa just outside Stockholm City,148262844,Jonas,,Älvsjö,59.28045,17.97984,Entire home/apt,3727,2,51,2024-02-10,0.65,1,209,9,
22173647,Pearl in the heart of Östermalm.,161975922,Tolga,,Östermalms,59.33425791662495,18.087895552549053,Entire home/apt,3500,2,16,2024-06-22,1.16,1,146,13,
22180937,Cosy flat close to nature and town,10517603,Caroline,,Skarpnäcks,59.29314,18.11111,Shared room,500,1,130,2024-06-26,1.67,1,241,19,
22183897,Apartment in Stockholm City - 50 meter from metro,83340766,Niklas,,Norrmalms,59.34328,18.05768,Entire home/apt,,4,3,2018-08-11,0.04,2,0,0,
22199829,Two room apartment. Close to inner city. Balcony!,70942841,Apartment In Bromma,,Bromma,59.33228,17.9477,Entire home/apt,900,4,156,2024-06-17,1.99,8,214,17,
22234632,"Stylish attic, 400 year old house in Old Town",1027549,William,,Södermalms,59.323753986847024,18.069350825276327,Entire home/apt,1486,1,346,2024-06-21,4.43,19,64,69,
22245622,Lovely apt in the absolutely heart of södermalm!,34775475,Morten,,Södermalms,59.31135,18.08026,Entire home/apt,,90,13,2022-05-08,0.16,2,0,0,
22275887,Beautiful 2 room apartment in SOFO,30864725,Fredric,,Södermalms,59.31117,18.08291,Entire home/apt,2079,5,6,2024-04-30,0.10,1,47,1,
22303112,Basement apartment with own garden close to subway,27764797,Dennis,,Hässelby-Vällingby,59.35707,17.88943,Entire home/apt,1100,5,75,2024-05-28,0.98,1,49,7,
22303205,The Check In,163034191,Levent,,Hägersten-Liljeholmens,59.29351,17.98194,Entire home/apt,,1,0,,,1,0,0,
22382678,Room with a view,17952012,Per,,Södermalms,59.3116,18.05553,Private room,515,2,39,2024-06-22,0.49,2,193,9,
